,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,y_pred_final_proba,y_pred_final,y_actual
4888,28.0,Mobile Phone,1,24.0,Cash on Delivery,Female,3.0,4,Fashion,3,Married,10,0,12.0,1.0,2.0,9.0,232.39,0.0025402928983615618,0,0
3508,5.0,Computer,3,27.0,Debit Card,Male,4.0,2,Mobile Phone,2,Divorced,2,0,13.0,2.0,3.0,3.0,152.91,0.016725571098555488,0,0
2965,11.0,Computer,1,7.0,Credit Card,Female,1.0,4,Fashion,2,Married,4,1,19.0,1.0,2.0,3.0,261.03,0.0025316375138693006,0,0
60,6.0,Mobile Phone,1,20.0,Credit Card,Female,3.0,3,Mobile Phone,4,Divorced,2,0,13.0,0.0,1.0,6.0,127.56,0.08972506809372682,0,0
2537,22.0,Mobile Phone,1,13.0,Credit Card,Female,3.0,3,Mobile Phone,5,Married,5,1,16.0,0.0,2.0,2.0,125.87,0.0009834556307376397,0,0
443,18.0,Mobile Phone,1,8.0,Credit Card,Male,3.0,3,Others,5,Divorced,6,1,14.0,1.0,1.0,4.0,298.59,0.07127464735046422,0,1
4737,11.0,Mobile Phone,1,17.0,Debit Card,Female,3.0,4,Mobile Phone,5,Married,2,1,14.0,5.0,5.0,4.0,152.82,0.01660697646046815,0,0
1273,6.0,Computer,1,13.0,Debit Card,Male,2.0,3,Laptop & Accessory,3,Married,2,0,20.0,2.0,2.0,8.0,159.68,0.004491485173552791,0,0
615,8.0,Mobile Phone,1,16.0,Unified Payment Identifier,Male,2.0,3,Mobile Phone,2,Married,2,0,20.0,1.0,1.0,2.0,139.17,0.00417727901351065,0,0
1007,13.0,Mobile Phone,3,20.0,Debit Card,Female,2.0,3,Laptop & Accessory,5,Married,2,0,15.0,0.0,1.0,2.0,146.39,0.07339788933604824,0,0
1056,22.0,Mobile Phone,1,12.0,Debit Card,Female,2.0,4,Grocery,3,Married,3,1,19.0,1.0,2.0,12.0,239.66000000000003,0.00042144176341480993,0,0
4589,20.0,Mobile Phone,1,9.0,Debit Card,Male,3.0,4,Grocery,3,Married,8,0,15.0,2.0,2.0,2.0,303.61,0.024586395403579216,0,0
2379,18.0,Mobile Phone,1,26.0,Credit Card,Male,3.0,5,Fashion,5,Married,3,1,18.0,1.0,1.0,7.0,208.51,0.01295375627721669,0,0
574,25.0,Mobile Phone,1,6.0,Debit Card,Male,3.0,3,Grocery,2,Divorced,3,0,15.0,1.0,7.0,8.0,270.99,0.000845461125509313,0,0
